"","r_id","collection"
"847",36877,"Sports Bars"
"848",45295,"Hot Night Clubs"
"849",43913,"Perfect Pav Bhaji"
"850",43035,"Home Bakers"
"851",40999,"Live Music"
"852",36514,"Late Night Eats"
"853",45853,"Sweetshops"
"854",36349,"Sweetshops"
"855",16708070,"Home Bakers"
"856",36931,"Live Music"
"857",40431,"Perfect Pav Bhaji"
"858",46305,"Healthy Eating"
"859",36948,"Sports Bars"
"860",49242,"Value For Money"
"861",36071,"Sweetshops"
"862",16547835,"Home Bakers"
"863",47855,"Celeb Spotting"
"864",43849,"Sweetshops"
"865",37307,"Healthy Eating"
"866",45022,"Regional Favorites"
"867",46002,"Chatpata Chaat"
"868",48433,"Kebab Places"
"869",45717,"Home Bakers"
"870",41612,"Sweetshops"
"871",16508744,"Home Bakers"
"872",16503233,"Home Bakers"
"873",47363,"Home Bakers"
"874",16508760,"Home Bakers"
"875",41628,"Home Bakers"
"876",17805724,"Pocket Friendly"
"877",49326,"Home Bakers"
"878",17871398,"Pocket Friendly"
"879",17843863,"Value For Money"
"880",17830853,"Newly Opened"
"881",17881732,"Pan-Asian Delicacies"
"882",16547439,"Newly Opened"
"883",41441,"Sweetshops"
"884",17871410,"Newly Opened"
"885",38480,"Live Music"
"886",16538661,"Home Bakers"
"887",41688,"Sweetshops"
"888",37756,"Chatpata Chaat"
"889",48452,"Home Bakers"
"890",49786,"Healthy Eating"
"891",45485,"Sweetshops"
"892",49789,"Taste of Bengal"
"893",38784,"Sunday Brunches"
"894",47216,"Taste of Bengal"
"895",17833365,"Newly Opened"
"896",49505,"Home Bakers"
"897",49309,"Home Bakers"
"898",17846231,"Newly Opened"
"899",40754,"Chatpata Chaat"
"900",38842,"Regional Favorites"
"901",41625,"Perfect Pav Bhaji"
"902",17856822,"Newly Opened"
"903",46405,"Great Cheesecakes"
"904",38704,"Pan-Asian Delicacies"
"905",49619,"Home Bakers"
"906",49620,"Home Bakers"
"907",16541522,"Pocket Friendly"
"908",42147,"Pocket Friendly"
"909",45066,"Healthy Eating"
"910",38468,"Kebab Places"
"911",49533,"Super Sushi"
"912",34033,"Jain Food"
"913",16540451,"Wine Bars"
"914",38478,"Wine Bars"
"915",47825,"Chatpata Chaat"
"916",47970,"Pocket Friendly"
"917",38231,"Sweetshops"
"918",37299,"Healthy Eating"
"919",16823680,"On the Outskirts"
"920",17881717,"Newly Opened"
"921",38919,"Chatpata Chaat"
"922",46544,"Home Bakers"
"923",40007,"On the Outskirts"
"924",49612,"Taste of Bengal"
"925",39691,"Sumptuous Sizzlers"
"926",42850,"Great Cheesecakes"
"927",40159,"On the Outskirts"
"928",45459,"Perfect Pav Bhaji"
"929",32975,"Super Seafood"
"930",39803,"Jain Food"
"931",36160,"Perfect Pav Bhaji"
"932",38520,"Great Cheesecakes"
"933",47418,"Jain Food"
"934",34319,"Sumptuous Sizzlers"
"935",41600,"Delicious Dosas"
"936",41808,"Celeb Spotting"
"937",41288,"Home Bakers"
"938",36351,"Super Sushi"
"939",41490,"Best Cupcakes"
"940",44338,"Chatpata Chaat"
"941",45493,"Healthy Eating"
"942",35286,"Sweetshops"
"943",43664,"Regional Favorites"
"944",48422,"Best Cupcakes"
"945",34176,"Chatpata Chaat"
"946",39285,"Best Shawarmas"
"947",17810261,"Newly Opened"
"948",36895,"Celeb Spotting"
"949",16529350,"Great Coffee"
"950",44003,"Super Sushi"
"951",45848,"On the Outskirts"
"952",42390,"Brilliant Biryanis"
"953",47069,"Kebab Places"
"954",38470,"Regional Favorites"
"955",37755,"Chatpata Chaat"
"956",38306,"Gourmet Pizza"
"957",17808576,"Newly Opened"
"958",36907,"Romantic"
"959",34167,"Super Seafood"
"960",37035,"Regional Favorites"
"961",35688,"Super Seafood"
"962",47203,"Great Cheesecakes"
"963",37914,"Gourmet Pizza"
"964",47836,"Live Music"
"965",35732,"Chatpata Chaat"
"966",46561,"Late Night Eats"
"967",42577,"Pocket Friendly"
"968",44120,"Regional Favorites"
"969",38416,"Brilliant Biryanis"
"970",38346,"Gourmet Pizza"
"971",37215,"Juices & Shakes"
"972",38031,"Sumptuous Sizzlers"
"973",48356,"Pan-Asian Delicacies"
"974",44656,"Romantic"
"975",37743,"Sports Bars"
"976",38512,"Meaty Feast"
"977",34390,"Terrific Thalis"
"978",40587,"Kebab Places"
"979",47788,"Hot Night Clubs"
"980",48346,"Meaty Feast"
"981",46942,"Kickass Burgers"
"982",42581,"Gourmet Pizza"
"983",43434,"Regional Favorites"
"984",49702,"Lunchbox"
"985",46705,"Brilliant Biryanis"
"986",38014,"Regional Favorites"
"987",39685,"Terrific Thalis"
"988",37974,"Pan-Asian Delicacies"
"989",40362,"Hot Night Clubs"
"990",34823,"Regional Favorites"
"991",36367,"Sunday Brunches"
"992",44926,"Veggie Friendly"
"993",34139,"Super Seafood"
"994",35237,"Best Shawarmas"
"995",37903,"Super Seafood"
"996",46530,"Hidden Gems"
"997",40639,"On the Outskirts"
"998",17740632,"Beer in a Bar"
"999",37831,"Newly Opened"
"1000",41729,"Super Seafood"
"1001",17806989,"Newly Opened"
"1002",48808,"Lunchbox"
"1003",40997,"Sunday Brunches"
"1004",42663,"Veggie Friendly"
"1005",40558,"Kebab Places"
"1006",34349,"Super Seafood"
"1007",34075,"Regional Favorites"
"1008",43845,"Sports Bars"
"1009",39014,"Terrific Thalis"
"1010",38477,"Romantic"
"1011",45600,"Kickass Burgers"
"1012",37885,"Healthy Eating"
"1013",34508,"Regional Favorites"
"1014",38707,"Lunchbox"
"1015",38947,"Irani Cafes"
"1016",38840,"Sports Bars"
"1017",37637,"Super Seafood"
"1018",38928,"Super Seafood"
"1019",40862,"Perfect Pav Bhaji"
"1020",41328,"Brilliant Biryanis"
"1021",47545,"Terrific Thalis"
"1022",36348,"Jain Food"
"1023",36325,"Jain Food"
"1024",45850,"Lunchbox"
"1025",39304,"Best Cupcakes"
"1026",47741,"Student Faves"
"1027",36334,"Lunchbox"
"1028",17830835,"Newly Opened"
"1029",38064,"Regional Favorites"
"1030",38305,"Perfect Pav Bhaji"
"1031",36395,"Sumptuous Sizzlers"
"1032",35734,"Student Faves"
"1033",32663,"Perfect Pav Bhaji"
"1034",36438,"Lunchbox"
"1035",43987,"Lunchbox"
"1036",49965,"Best Cupcakes"
"1037",36018,"Mexican Magic"
"1038",36429,"Sumptuous Sizzlers"
"1039",16540437,"Mexican Magic"
"1040",40222,"Brilliant Biryanis"
"1041",16516118,"Great Cheesecakes"
"1042",34744,"Perfect Pav Bhaji"
"1043",39216,"Jain Food"
"1044",16540245,"Lunchbox"
"1045",48069,"Lunchbox"
"1046",46163,"Live Music"
"1047",39241,"Veggie Friendly"
"1048",32951,"Super Seafood"
"1049",32891,"Irani Cafes"
"1050",43869,"Wine Bars"
"1051",36950,"Legendary Restaurants"
"1052",16547408,"Best Shawarmas"
"1053",34127,"Delicious Dosas"
"1054",49761,"Pan-Asian Delicacies"
"1055",49784,"Veggie Friendly"
"1056",16508759,"Gourmet Pizza"
"1057",48520,"Meaty Feast"
"1058",37311,"Pan-Asian Delicacies"
"1059",37895,"Kebab Places"
"1060",39008,"Sunday Brunches"
"1061",36215,"Chatpata Chaat"
"1062",48388,"Great Coffee"
"1063",46373,"Great Cheesecakes"
"1064",47150,"Great Breakfasts"
"1065",43880,"Best Cupcakes"
"1066",36331,"Great Coffee"
"1067",47898,"Sports Bars"
"1068",32880,"Pocket Friendly"
"1069",38506,"Regional Favorites"
"1070",16541539,"Value For Money"
"1071",69128,"Sweet Tooth"
"1072",65868,"Jain Food"
"1073",67386,"What's Your Poison?"
"1074",71695,"Newly Opened"
"1075",69667,"Brilliant Biryanis"
"1076",70920,"Street Food"
"1077",66422,"Veggie Friendly"
"1078",69635,"Street Food"
"1079",65737,"Brilliant Biryanis"
"1080",66998,"Veggie Friendly"
"1081",70375,"Pocket Friendly"
"1082",67135,"Sea View"
"1083",71568,"Rooftops"
"1084",305351,"Great Coffee"
"1085",306123,"Regional Favorites"
"1086",306263,"Sunday Brunches"
"1087",306320,"Great Breakfasts"
"1088",305598,"Kebab Places"
"1089",4050,"Upper Crust"
"1090",3026,"Microbreweries"
"1091",481,"Legendary Restaurants"
"1092",305986,"Kickass Burgers"
"1093",966,"Butter Chicken"
"1094",73,"Pan-Asian Delicacies"
"1095",307300,"Healthy Breakfast"
"1096",95971,"Frozen Delights"
"1097",96489,"Veggie Friendly"
"1098",92599,"Beer in a Bar"
"1099",47186,"Romantic"
"1100",44211,"On the Outskirts"
"1101",41520,"Gourmet Pizza"
"1102",36913,"Hot Night Clubs"
"1103",37764,"Kebab Places"
"1104",37537,"Jain Food"
"1105",44958,"Romantic"
"1106",37611,"Regional Favorites"
"1107",34440,"Regional Favorites"
"1108",47483,"Great Breakfasts"
"1109",49297,"Pan-Asian Delicacies"
"1110",37280,"Juices & Shakes"
"1111",41501,"Hidden Gems"
"1112",37598,"Romantic"
"1113",47742,"Great Coffee"
"1114",37075,"Terrific Thalis"
"1115",40451,"Regional Favorites"
"1116",37244,"Wine Bars"
"1117",38410,"Kebab Places"
"1118",38313,"Sea View"
"1119",66410,"Pan-Asian Delicacies"
"1120",69007,"Brilliant Biryanis"
"1121",65820,"Regional Favorites"
"1122",71273,"Sweet Tooth"
"1123",65665,"Late Night Eats"
"1124",71274,"Sweet Tooth"
"1125",70019,"Veggie Friendly"
"1126",70990,"Sunday Brunches"
"1127",69660,"Veggie Friendly"
"1128",66414,"All-day Dining"
"1129",1245,"What's Your Poison?"
"1130",312601,"Newly Opened"
"1131",1914,"Legendary Restaurants"
"1132",1642,"What's Your Poison?"
"1133",926,"Pocket Friendly"
"1134",7060,"Regional Favorites"
"1135",307824,"Microbreweries"
"1136",304931,"Pan-Asian Delicacies"
"1137",7064,"Kickass Burgers"
"1138",91557,"Hidden Gems"
"1139",94467,"Frozen Delights"
"1140",92107,"Legendary Restaurants"
"1141",91820,"Beer in a Bar"
"1142",92641,"Late Night Eats"
"1143",96457,"What's Your Poison?"
"1144",90587,"Meat Cravings"
"1145",38061,"Hidden Gems"
"1146",43127,"Super Sushi"
"1147",36295,"Kebab Places"
"1148",36933,"Kickass Burgers"
"1149",35078,"Pan-Asian Delicacies"
"1150",16503239,"Beer in a Bar"
"1151",38758,"Gourmet Pizza"
"1152",36029,"Sumptuous Sizzlers"
"1153",16529351,"Beer in a Bar"
"1154",38370,"Sumptuous Sizzlers"
"1155",49154,"Beer in a Bar"
"1156",40428,"Legendary Restaurants"
"1157",37476,"Kebab Places"
"1158",37969,"Romantic"
"1159",37934,"Student Faves"
"1160",36927,"Sunday Brunches"
"1161",48101,"Value For Money"
"1162",37745,"Gourmet Pizza"
"1163",39329,"Kickass Burgers"
"1164",65838,"Regional Favorites"
"1165",66377,"Brilliant Biryanis"
"1166",67608,"Pocket Friendly"
"1167",68767,"Pocket Friendly"
"1168",68628,"Street Food"
"1169",71789,"Newly Opened"
"1170",69565,"Street Food"
"1171",68566,"Sweet Tooth"
"1172",70667,"What's Your Poison?"
"1173",68853,"Pocket Friendly"
"1174",70727,"Pocket Friendly"
"1175",66372,"Late Night Eats"
"1176",311369,"Late Night Eats"
"1177",4400,"Sweet Tooth"
"1178",7001,"Sunday Brunches"
"1179",303790,"Microbreweries"
"1180",308160,"Romantic"
"1181",307543,"Pan-Asian Delicacies"
"1182",2128,"Sunday Brunches"
"1183",310080,"Kickass Burgers"
"1184",301124,"Upper Crust"
"1185",307074,"Kickass Burgers"
"1186",91784,"Frozen Delights"
"1187",92363,"Late Night Eats"
"1188",90275,"Best Shawarmas"
"1189",92578,"What's Your Poison?"
"1190",91026,"Hidden Gems"
"1191",93137,"Shisha Hangouts"
"1192",92634,"Best Bakeries"
"1193",90421,"Pocket Friendly"
"1194",94689,"Shisha Hangouts"
"1195",96319,"Late Night Eats"
"1196",93597,"Hidden Gems"
"1197",92020,"Brilliant Biryanis"
"1198",44023,"Sea View"
"1199",37679,"Legendary Restaurants"
"1200",32225,"Late Night Eats"
"1201",34424,"Student Faves"
"1202",40464,"Great Breakfasts"
"1203",47835,"Brilliant Biryanis"
"1204",32904,"Legendary Restaurants"
"1205",49636,"Lunchbox"
"1206",49499,"Sunday Brunches"
"1207",36874,"Romantic"
"1208",36161,"Best Cupcakes"
"1209",34160,"Chatpata Chaat"
"1210",36449,"Brilliant Biryanis"
"1211",38476,"Sunday Brunches"
"1212",16547403,"Brilliant Biryanis"
"1213",43058,"Pan-Asian Delicacies"
"1214",39692,"Super Seafood"
"1215",37832,"Legendary Restaurants"
"1216",66092,"Romantic"
"1217",66352,"Street Food"
"1218",68669,"Jain Food"
"1219",65855,"Rooftops"
"1220",65203,"Street Food"
"1221",69055,"Late Night Eats"
"1222",66108,"Jain Food"
"1223",66389,"Sweet Tooth"
"1224",67370,"Legendary Restaurants"
"1225",65304,"Regional Favorites"
"1226",66833,"Street Food"
"1227",68597,"Legendary Restaurants"
"1228",66045,"Sunday Brunches"
"1229",67172,"Sweet Tooth"
"1230",71183,"Veggie Friendly"
"1231",929,"Cocktail Bars"
"1232",2744,"Business Dining"
"1233",305,"Pocket Friendly"
"1234",7545,"Street Food"
"1235",1799,"Sunday Brunches"
"1236",2763,"Kickass Burgers"
"1237",308329,"Kickass Burgers"
"1238",307931,"Regional Favorites"
"1239",309834,"Frozen Delights"
"1240",305269,"Rooftops"
"1241",496,"Street Food"
"1242",94549,"Best Bakeries"
"1243",96627,"Best Shawarmas"
"1244",92606,"Late Night Eats"
"1245",91693,"Pan-Asian Delicacies"
"1246",93391,"Veggie Friendly"
"1247",96421,"Best Shawarmas"
"1248",90860,"Legendary Restaurants"
"1249",96624,"Great Italian"
"1250",92359,"Rooftops"
"1251",91833,"Late Night Eats"
"1252",92099,"Pan-Asian Delicacies"
"1253",32264,"Legendary Restaurants"
"1254",35186,"Super Seafood"
"1255",49608,"Value For Money"
"1256",46323,"Best Shawarmas"
"1257",36847,"Legendary Restaurants"
"1258",48023,"Late Night Eats"
"1259",47865,"Kickass Burgers"
"1260",43160,"Sports Bars"
"1261",38902,"Legendary Restaurants"
"1262",47916,"Rooftops"
"1263",41311,"On the Outskirts"
"1264",32835,"Legendary Restaurants"
"1265",37080,"Gourmet Pizza"
"1266",41308,"Hidden Gems"
"1267",35950,"Value For Money"
"1268",38770,"Pocket Friendly"
"1269",38661,"Super Seafood"
"1270",39657,"Hot Night Clubs"
"1271",37680,"Hidden Gems"
"1272",43836,"Value For Money"
"1273",40468,"Super Seafood"
"1274",37424,"Kickass Burgers"
"1275",37642,"Sunday Brunches"
"1276",69949,"Late Night Eats"
"1277",66600,"Brilliant Biryanis"
"1278",71153,"Newly Opened"
"1279",70912,"Brilliant Biryanis"
"1280",65881,"Legendary Restaurants"
"1281",65851,"Sweet Tooth"
"1282",66560,"Jain Food"
"1283",66543,"Corporate Dining"
"1284",65299,"Regional Favorites"
"1285",70874,"Street Food"
"1286",65966,"Veggie Friendly"
"1287",66330,"Jain Food"
"1288",67017,"Veggie Friendly"
"1289",65530,"Street Food"
"1290",70803,"Terrific Thalis"
"1291",66509,"Barbecue & Grill"
"1292",304933,"Kickass Burgers"
"1293",308002,"Microbreweries"
"1294",309882,"Regional Favorites"
"1295",1876,"Butter Chicken"
"1296",1243,"Kickass Burgers"
"1297",307135,"Upper Crust"
"1298",5738,"Legendary Restaurants"
"1299",3344,"Meat Cravings"
"1300",870,"Legendary Restaurants"
"1301",7528,"Rooftops"
"1302",1286,"Regional Favorites"
"1303",4766,"Kickass Burgers"
"1304",92558,"Hidden Gems"
"1305",96838,"Best Bakeries"
"1306",95566,"Shisha Hangouts"
"1307",92685,"Pan-Asian Delicacies"
"1308",94463,"Frozen Delights"
"1309",94705,"Hidden Gems"
"1310",96559,"Shisha Hangouts"
"1311",96748,"What's Your Poison?"
"1312",94038,"Frozen Delights"
"1313",39624,"Delicious Dosas"
"1314",35160,"European & Mediterranean"
"1315",36302,"Legendary Restaurants"
"1316",42765,"Irani Cafes"
"1317",43980,"Live Music"
"1318",36491,"Romantic"
"1319",38918,"Value For Money"
"1320",35542,"Romantic"
"1321",45254,"Hidden Gems"
"1322",48553,"Kickass Burgers"
"1323",41584,"Sunday Brunches"
"1324",43989,"Sunday Brunches"
"1325",46324,"Sunday Brunches"
"1326",48973,"Beer in a Bar"
"1327",34897,"Delicious Dosas"
"1328",16508750,"Healthy Eating"
"1329",40423,"Value For Money"
"1330",39986,"Veggie Friendly"
"1331",43839,"Sports Bars"
"1332",38787,"Sea View"
"1333",49494,"Veggie Friendly"
"1334",47796,"Kickass Burgers"
"1335",66209,"All-day Dining"
"1336",70373,"Kickass Burgers"
"1337",70897,"Sweet Tooth"
"1338",66874,"Veggie Friendly"
"1339",66077,"Romantic"
"1340",65418,"Sunday Brunches"
"1341",65557,"Kickass Burgers"
"1342",67408,"Rooftops"
"1343",70172,"What's Your Poison?"
"1344",66095,"Sunday Brunches"
"1345",66329,"Legendary Restaurants"
"1346",69113,"Sea View"
"1347",68487,"What's Your Poison?"
"1348",65695,"Romantic"
"1349",66398,"Legendary Restaurants"
"1350",65991,"Legendary Restaurants"
"1351",68606,"Veggie Friendly"
"1352",65508,"Legendary Restaurants"
"1353",66058,"What's Your Poison?"
"1354",307309,"What's Your Poison?"
"1355",7227,"What's Your Poison?"
"1356",300716,"What's Your Poison?"
"1357",4571,"Sunday Brunches"
"1358",6075,"Street Food"
"1359",304430,"Great Breakfasts"
"1360",8241,"Sunday Brunches"
"1361",5591,"Sunday Brunches"
"1362",306407,"Student Faves"
"1363",910,"Legendary Restaurants"
"1364",6144,"Veggie Friendly"
"1365",301235,"Sweet Tooth"
"1366",2632,"Pan-Asian Delicacies"
"1367",303092,"Kickass Burgers"
"1368",925,"Pocket Friendly"
"1369",50,"Legendary Restaurants"
"1370",3190,"Sweet Tooth"
"1371",91677,"Brilliant Biryanis"
"1372",90068,"Sunday Brunches"
"1373",97830,"Newly Opened"
"1374",94930,"Shisha Hangouts"
"1375",91698,"Late Night Eats"
"1376",95790,"Late Night Eats"
"1377",92738,"Hidden Gems"
"1378",96456,"Rooftops"
"1379",92652,"Hidden Gems"
"1380",92535,"Veggie Friendly"
"1381",92155,"Street Food"
"1382",92236,"Legendary Restaurants"
"1383",91738,"Pocket Friendly"
"1384",91696,"Rooftops"
"1385",32693,"Super Seafood"
"1386",34146,"Value For Money"
"1387",49489,"Pocket Friendly"
"1388",44766,"Super Sushi"
"1389",37829,"Legendary Restaurants"
"1390",36498,"Sunday Brunches"
"1391",42537,"Wine Bars"
"1392",39630,"Kickass Burgers"
"1393",32795,"Legendary Restaurants"
"1394",48108,"Best Shawarmas"
"1395",37964,"Romantic"
"1396",36304,"Gourmet Pizza"
"1397",17805688,"Lunchbox"
"1398",16538614,"European & Mediterranean"
"1399",43975,"Wine Bars"
"1400",37675,"Beer in a Bar"
"1401",47861,"Sunday Brunches"
"1402",38415,"Romantic"
"1403",38405,"Jain Food"
"1404",50709,"Regional Favorites"
"1405",57730,"Wine Bars"
"1406",55000,"Great Buffets"
"1407",50959,"Legendary Restaurants"
"1408",53178,"Wine Bars"
"1409",50508,"Mexican Magic"
"1410",52713,"Beer in a Bar"
"1411",52043,"Veggie Friendly"
"1412",51232,"Brilliant Biryanis"
"1413",52752,"Brilliant Biryanis"
"1414",53263,"Kickass Burgers"
"1415",53966,"Kickass Burgers"
"1416",58349,"Great Buffets"
"1417",51832,"Mexican Magic"
"1418",57325,"Pocket Friendly"
"1419",50613,"Beer in a Bar"
"1420",58802,"Cocktail Bars"
"1421",50868,"Flavours of Punjab"
"1422",50160,"Great Coffee"
"1423",52333,"Veggie Friendly"
"1424",51815,"Great Buffets"
"1425",54159,"Kebab Places"
"1426",54165,"Great Buffets"
"1427",51133,"Pocket Friendly"
"1428",51551,"Pocket Friendly"
"1429",52282,"Legendary Restaurants"
"1430",59358,"Regional Favorites"
"1431",50612,"Sunday Brunches"
"1432",51913,"Pocket Friendly"
"1433",52623,"Beer in a Bar"
"1434",54138,"Regional Favorites"
"1435",50763,"Beer in a Bar"
"1436",57103,"Regional Favorites"
"1437",54148,"Sunday Brunches"
"1438",50492,"Brilliant Biryanis"
"1439",50490,"Pocket Friendly"
"1440",51139,"Brilliant Biryanis"
"1441",53942,"Flavours of Punjab"
"1442",50708,"Regional Favorites"
"1443",52592,"Veggie Friendly"
"1444",58786,"Veggie Friendly"
"1445",51969,"Great Breakfasts"
"1446",57277,"Great Coffee"
"1447",55447,"Microbreweries"
"1448",60092,"Brilliant Biryanis"
"1449",51655,"Beer in a Bar"
"1450",57446,"Beer in a Bar"
"1451",57098,"Rooftops"
"1452",52997,"European & Mediterranean"
"1453",54902,"Sweet Tooth"
"1454",53891,"Live Music"
"1455",53921,"Live Music"
"1456",54056,"Super Seafood"
"1457",50565,"Regional Favorites"
"1458",59304,"Great Breakfasts"
"1459",58081,"Flavours of Punjab"
"1460",50248,"Cakes & Bakes"
"1461",53196,"Frozen Delights"
"1462",58076,"Pocket Friendly"
"1463",53393,"Shawarmas & Falafel"
"1464",50844,"Legendary Restaurants"
"1465",56353,"Sunday Brunches"
"1466",56292,"Veggie Friendly"
"1467",59239,"Rooftops"
"1468",53186,"Meat Cravings"
"1469",51715,"European & Mediterranean"
"1470",58380,"Kickass Burgers"
"1471",52940,"Cakes & Bakes"
"1472",55469,"Veggie Friendly"
"1473",54615,"Street Food"
"1474",59638,"Rooftops"
"1475",60064,"Street Food"
"1476",60438,"Newly Opened"
"1477",57897,"Street Food"
"1478",50220,"Late Night Eats"
"1479",54079,"Cakes & Bakes"
"1480",53701,"Veggie Friendly"
"1481",51589,"Great Coffee"
"1482",57039,"Regional Favorites"
"1483",52053,"Sunday Brunches"
"1484",59175,"Sweet Tooth"
"1485",51988,"Super Seafood"
"1486",56098,"Pocket Friendly"
"1487",50458,"Legendary Restaurants"
"1488",58536,"Great Breakfasts"
"1489",52136,"Regional Favorites"
"1490",51671,"Legendary Restaurants"
"1491",58544,"Flavours of Punjab"
"1492",59049,"Pocket Friendly"
"1493",52590,"Wine Bars"
"1494",56573,"Brilliant Biryanis"
"1495",53212,"Brilliant Biryanis"
"1496",53533,"Cakes & Bakes"
"1497",53619,"Student Faves"
"1498",53620,"Pocket Friendly"
"1499",56028,"Pocket Friendly"
"1500",52273,"Super Seafood"
"1501",51979,"Flavours of Punjab"
"1502",55361,"Sunday Brunches"
"1503",50412,"Happy Hours"
"1504",55412,"Frozen Delights"
"1505",53898,"Super Seafood"
"1506",52281,"Veggie Friendly"
"1507",54686,"Veggie Friendly"
"1508",51519,"Flavours of Punjab"
"1509",50046,"Regional Favorites"
"1510",55050,"Legendary Restaurants"
"1511",61563,"Newly Opened"
"1512",54175,"Brilliant Biryanis"
"1513",56208,"Veggie Friendly"
"1514",52728,"Hot Chocolate Spots"
"1515",58430,"Great Buffets"
"1516",50831,"Flavours of Punjab"
"1517",51621,"Beer in a Bar"
"1518",50499,"Luxury Nightlife"
"1519",57707,"Pocket Friendly"
"1520",53602,"Pocket Friendly"
"1521",52368,"Regional Favorites"
"1522",53829,"Legendary Restaurants"
"1523",51795,"Pocket Friendly"
"1524",52196,"Veggie Friendly"
"1525",54077,"Veggie Friendly"
"1526",50001,"Veggie Friendly"
"1527",54412,"Flavours of Punjab"
"1528",51968,"Veggie Friendly"
"1529",58982,"Beer in a Bar"
"1530",51763,"Regional Favorites"
"1531",50318,"Late Night Eats"
"1532",50710,"Regional Favorites"
"1533",59163,"Kickass Burgers"
"1534",52948,"Sunday Brunches"
"1535",51983,"Kebab Places"
"1536",50461,"Cakes & Bakes"
"1537",57843,"Legendary Breakfasts"
"1538",51076,"Beer in a Bar"
"1539",51986,"Beer in a Bar"
"1540",55908,"Sunday Brunches"
"1541",54399,"Veggie Friendly"
"1542",50617,"Sunday Brunches"
"1543",51544,"Sunday Brunches"
"1544",60907,"Newly Opened"
"1545",57884,"Wine Bars"
"1546",52106,"Kebab Places"
"1547",52058,"Romantic"
"1548",60729,"Pocket Friendly"
"1549",51789,"Great Breakfasts"
"1550",60299,"Pocket Friendly"
"1551",55963,"Late Night Eats"
"1552",56616,"Student Faves"
"1553",56748,"Super Seafood"
"1554",58537,"Pocket Friendly"
"1555",56771,"Pocket Friendly"
"1556",57828,"Late Night Eats"
"1557",55492,"Street Food"
"1558",52219,"Business Dining"
"1559",57682,"Brilliant Biryanis"
"1560",58465,"Cocktail Bars"
"1561",52646,"European & Mediterranean"
"1562",57032,"Beer in a Bar"
"1563",56019,"Romantic"
"1564",52931,"Shawarmas & Falafel"
"1565",52331,"Super Seafood"
"1566",58578,"Sweet Tooth"
"1567",50206,"Great Coffee"
"1568",50036,"Shawarmas & Falafel"
"1569",55365,"Brilliant Biryanis"
"1570",58488,"Taste of Kerala"
"1571",54324,"Legendary Breakfasts"
"1572",50862,"Poolside Dining"
"1573",52097,"Sweet Tooth"
"1574",51018,"Sunday Brunches"
"1575",56649,"Business Dining"
"1576",51858,"Veggie Friendly"
"1577",51865,"Pocket Friendly"
"1578",51521,"Super Seafood"
"1579",52437,"Gourmet Pizza"
"1580",58898,"Pocket Friendly Bars"
"1581",60914,"Newly Opened"
"1582",58919,"Regional Favorites"
"1583",17956697,"Newly Opened"
"1584",58390,"Street Food"
"1585",53084,"Super Seafood"
"1586",52393,"Hot Chocolate Spots"
"1587",53801,"Meat Cravings"
"1588",50548,"Great Coffee"
"1589",60201,"Pocket Friendly"
"1590",58660,"Rooftops"
"1591",58046,"Pocket Friendly"
"1592",57568,"Regional Favorites"
"1593",53185,"Great Coffee"
"1594",50871,"Legendary Restaurants"
"1595",51792,"Frozen Delights"
"1596",54546,"Pocket Friendly"
"1597",56643,"Pocket Friendly"
"1598",57104,"Street Food"
"1599",56042,"Brilliant Biryanis"
"1600",52397,"Super Seafood"
"1601",51658,"Sunday Brunches"
"1602",50506,"Late Night Eats"
"1603",51086,"Sunday Brunches"
"1604",50452,"Wine Bars"
"1605",58434,"Regional Favorites"
"1606",59511,"Frozen Delights"
"1607",52950,"Poolside Dining"
"1608",57143,"Street Food"
"1609",56324,"Wine Bars"
"1610",52581,"Flavours of Punjab"
"1611",57031,"Beer in a Bar"
"1612",51834,"Veggie Friendly"
"1613",53384,"Street Food"
"1614",52475,"Frozen Delights"
"1615",61681,"Newly Opened"
"1616",52941,"Late Night Eats"
"1617",54209,"Sunday Brunches"
"1618",50877,"Pocket Friendly Bars"
"1619",57391,"Pocket Friendly"
"1620",50156,"Cakes & Bakes"
"1621",59109,"Kebab Places"
"1622",60784,"Newly Opened"
"1623",50258,"Pocket Friendly"
"1624",51047,"Super Seafood"
"1625",61215,"Newly Opened"
"1626",50615,"Wine Bars"
"1627",56265,"European & Mediterranean"
"1628",60799,"Newly Opened"
"1629",61371,"Newly Opened"
"1630",61388,"Newly Opened"
"1631",59744,"Newly Opened"
"1632",61384,"Newly Opened"
"1633",54364,"Street Food"
"1634",57632,"Just Delivery"
"1635",50820,"Wine Bars"
"1636",61546,"Shawarmas & Falafel"
"1637",50048,"Poolside Dining"
"1638",53318,"Street Food"
"1639",60455,"Pocket Friendly"
"1640",53889,"Cakes & Bakes"
"1641",54670,"Street Food"
"1642",61331,"Newly Opened"
"1643",59291,"Late Night Eats"
"1644",52313,"Romantic"
"1645",57827,"Street Food"
"1646",51794,"Pocket Friendly"
"1647",50758,"Luxury Nightlife"
"1648",59502,"Flavours of Punjab"
"1649",53913,"Super Seafood"
"1650",59878,"Pocket Friendly"
"1651",51436,"Flavours of Punjab"
"1652",52981,"European & Mediterranean"
"1653",50405,"European & Mediterranean"
"1654",51912,"Regional Favorites"
"1655",61335,"Great Breakfasts"
"1656",51511,"Super Seafood"
"1657",60657,"Late Night Eats"
"1658",51883,"Brilliant Biryanis"
"1659",54166,"Regional Favorites"
