"","r_id","collection"
"195",9627,"Rooftops"
"196",313153,"Newly Opened"
"197",8234,"Street Food"
"198",304617,"Kebab Places"
"199",313045,"Newly Opened"
"200",5014,"Healthy Breakfast"
"201",305167,"Healthy Breakfast"
"202",4366,"Business Dining"
"203",313391,"Newly Opened"
"204",311148,"Newly Opened"
"205",310963,"Newly Opened"
"206",309544,"Brilliant Biryanis"
"207",3293,"Pocket Friendly Bars"
"208",7691,"Student Faves"
"209",4140,"Sunday Brunches"
"210",308688,"Healthy Breakfast"
"211",6271,"Kebab Places"
"212",8014,"European & Mediterranean"
"213",3998,"Kebab Places"
"214",307286,"Brilliant Biryanis"
"215",306025,"Late Night Delivery"
"216",306472,"Sunday Brunches"
"217",303854,"Great Coffee"
"218",306799,"Late Night Delivery"
"219",304963,"Brilliant Biryanis"
"220",3181,"Kebab Places"
"221",9579,"Street Food"
"222",302742,"Hidden Gems"
"223",3926,"Pan-Asian Delicacies"
"224",71120,"Home Bakers"
"225",311103,"Frozen Delights"
"226",306537,"Pan-Asian Delicacies"
"227",301287,"Hidden Gems"
"228",301876,"Kebab Places"
"229",1670,"Great Breakfasts"
"230",305961,"Brilliant Biryanis"
"231",3674,"Cocktail Bars"
"232",305262,"Sunday Brunches"
"233",304187,"Himalayan Cuisine"
"234",303644,"Hidden Gems"
"235",308246,"Hidden Gems"
"236",307307,"Late Night Delivery"
"237",6303,"Street Food"
"238",573,"Pocket Friendly Bars"
"239",313228,"Newly Opened"
"240",4905,"Rooftops"
"241",2701,"Romantic"
"242",71871,"Newly Opened"
"243",69988,"Home Bakers"
"244",71842,"Newly Opened"
"245",2694,"Business Dining"
"246",307994,"Kebab Places"
"247",71702,"Home Bakers"
"248",66033,"Super Seafood"
"249",70643,"Street Food"
"250",307136,"Late Night Delivery"
"251",70079,"Juices & Shakes"
"252",4234,"Late Night Eats"
"253",5459,"Old Delhi Treats"
"254",97843,"Newly Opened"
"255",70051,"Street Food"
"256",2738,"Late Night Eats"
"257",306478,"Sunday Brunches"
"258",307230,"Regional Favorites"
"259",307138,"Late Night Delivery"
"260",4358,"Sunday Brunches"
"261",68195,"Brilliant Biryanis"
"262",5042,"Pan-Asian Delicacies"
"263",1669,"Great Breakfasts"
"264",304890,"Brilliant Biryanis"
"265",9641,"Pocket Friendly"
"266",307185,"Brilliant Biryanis"
